0, 292, 0
0.08722742, 292.0037, 359.9519
0.1744548, 292.0074, 359.9038
0.2616822, 292.0111, 359.8557
0.3489097, 292.0148, 359.8076
0.4361372, 292.0184, 359.7595
0.5233645, 292.0221, 359.7114
0.6105919, 292.0258, 359.6633
0.6978192, 292.0295, 359.6152
0.7850469, 292.0332, 359.5671
0.8722743, 292.0369, 359.519
0.9595017, 292.0406, 359.4709
1.046729, 292.0443, 359.4228
1.133957, 292.0479, 359.3747
1.221184, 292.0516, 359.3266
1.308411, 292.0553, 359.2785
1.395639, 292.059, 359.2304
1.482866, 292.0627, 359.1823
1.570094, 292.0664, 359.1342
1.657321, 292.0701, 359.0861
1.744549, 292.0738, 359.038
1.831776, 292.0775, 358.9899
1.919004, 292.0812, 358.9418
2.006231, 292.0849, 358.8937
2.093458, 292.0886, 358.8456
2.180686, 292.0923, 358.7975
2.267913, 292.0959, 358.7494
2.355141, 292.0996, 358.7013
2.442368, 292.1033, 358.6532
2.529596, 292.107, 358.6051
2.616823, 292.1107, 358.557
2.704051, 292.1144, 358.5089
2.791278, 292.1181, 358.4608
2.878505, 292.1218, 358.4127
2.965733, 292.1254, 358.3646
3.05296, 292.1291, 358.3165
3.140188, 292.1328, 358.2684
3.227415, 292.1365, 358.2203
3.314643, 292.1402, 358.1722
3.40187, 292.1439, 358.1241
3.489097, 292.1476, 358.076
3.576325, 292.1512, 358.0279
3.663552, 292.1549, 357.9798
3.750779, 292.1586, 357.9317
3.838007, 292.1623, 357.8836
3.925235, 292.166, 357.8355
4.012462, 292.1697, 357.7874
4.09969, 292.1734, 357.7393
4.186917, 292.1771, 357.6912
4.274146, 292.1808, 357.6431
4.361372, 292.1845, 357.595
4.4486, 292.1882, 357.5469
4.535827, 292.1919, 357.4987
4.623055, 292.1956, 357.4507
4.710283, 292.1992, 357.4026
4.797509, 292.2029, 357.3545
4.884737, 292.2065, 357.3064
4.971964, 292.2103, 357.2583
5.059191, 292.214, 357.2101
5.146419, 292.2177, 357.162
5.233646, 292.2213, 357.114
5.320874, 292.225, 357.0659
5.408102, 292.2287, 357.0178
5.495328, 292.2324, 356.9697
5.582557, 292.2361, 356.9215
5.669785, 292.2398, 356.8734
5.757011, 292.2435, 356.8253
5.844239, 292.2472, 356.7773
5.931466, 292.2509, 356.7292
6.018693, 292.2545, 356.6811
6.105921, 292.2582, 356.6329
6.193148, 292.2619, 356.5848
6.280375, 292.2656, 356.5367
6.367604, 292.2693, 356.4886
6.454831, 292.273, 356.4406
6.542058, 292.2767, 356.3925
6.629286, 292.2803, 356.3443
6.716513, 292.284, 356.2962
6.80374, 292.2877, 356.2481
6.890968, 292.2914, 356.2
6.876685, 292.2951, 356.2079
6.876684, 292.2988, 356.2079
6.876684, 292.3025, 356.2079
6.876685, 292.3062, 356.2079
6.876684, 292.3099, 356.2079
6.876685, 292.3136, 356.2079
6.876684, 292.3173, 356.2079
6.876685, 292.321, 356.2079
6.876684, 292.3246, 356.2079
6.876685, 292.3283, 356.2079
6.876685, 292.332, 356.2079
6.876684, 292.3356, 356.2079
6.876684, 292.3393, 356.2079
6.876684, 292.343, 356.2079
6.876684, 292.3467, 356.2079
6.876684, 292.3504, 356.2079
6.876684, 292.3541, 356.2079
6.876684, 292.3578, 356.2079
6.876684, 292.3615, 356.2079
6.876685, 292.3651, 356.2079
